Time,HHmm,Temperature_C,FeelsLike_C
2025-09-21 9:15:00 AM,09:15,20.25,20.875
2025-09-21 9:30:00 AM,09:30,20.7,21.55
2025-09-21 9:45:00 AM,09:45,21.15,22.225
2025-09-21 10:00:00 AM,10:00,21.6,22.9
2025-09-21 10:15:00 AM,10:15,21.925,23.3
2025-09-21 10:30:00 AM,10:30,22.25,23.7
2025-09-21 10:45:00 AM,10:45,22.575,24.1
2025-09-21 11:00:00 AM,11:00,22.9,24.5
2025-09-21 11:15:00 AM,11:15,23.275,24.775
2025-09-21 11:30:00 AM,11:30,23.65,25.05
2025-09-21 11:45:00 AM,11:45,24.025,25.325
2025-09-21 12:00:00 PM,12:00,24.4,25.6
2025-09-21 12:15:00 PM,12:15,24.5,25.625
2025-09-21 12:30:00 PM,12:30,24.6,25.65
2025-09-21 12:45:00 PM,12:45,24.7,25.675
2025-09-21 1:00:00 PM,13:00,24.8,25.7
2025-09-21 1:15:00 PM,13:15,24.975,25.9
2025-09-21 1:30:00 PM,13:30,25.15,26.1
2025-09-21 1:45:00 PM,13:45,25.325,26.3
2025-09-21 2:00:00 PM,14:00,25.5,26.5
2025-09-21 2:15:00 PM,14:15,25.25,26.025
2025-09-21 2:30:00 PM,14:30,25,25.55
2025-09-21 2:45:00 PM,14:45,24.75,25.075
2025-09-21 3:00:00 PM,15:00,24.5,24.6
2025-09-21 3:15:00 PM,15:15,24.075,24.15
2025-09-21 3:30:00 PM,15:30,23.65,23.7
2025-09-21 3:45:00 PM,15:45,23.225,23.25
2025-09-21 4:00:00 PM,16:00,22.8,22.8
2025-09-21 4:15:00 PM,16:15,22.55,22.55
2025-09-21 4:30:00 PM,16:30,22.3,22.3
2025-09-21 4:45:00 PM,16:45,22.05,22.05
2025-09-21 5:00:00 PM,17:00,21.8,21.8
2025-09-21 5:15:00 PM,17:15,21.625,21.45
2025-09-21 5:30:00 PM,17:30,21.45,21.1
2025-09-21 5:45:00 PM,17:45,21.275,20.75
